channel,offer,life_month,ftds,cac_per_ftd,ngr_per_ftd,variable_cost_per_ftd
search,deposit_match_250,2,1468,391.17,98.58,7.88
search,deposit_match_250,3,1468,391.17,91.85,6.98
search,deposit_match_250,4,1468,391.17,110.7,7.02
search,deposit_match_250,5,1468,391.17,100.5,6.53
search,deposit_match_250,6,1468,391.17,84.53,6.31
search,deposit_match_250,7,1468,391.17,69.65,6.59
search,deposit_match_250,8,1468,391.17,71.8,6.05
search,deposit_match_250,9,1468,391.17,56.37,5.63
search,deposit_match_250,10,1468,391.17,73.52,5.54
search,deposit_match_250,11,1468,391.17,36.08,5.55
search,no_sweat_1000,0,2158,388.95,71.59,13.21
search,no_sweat_1000,1,2158,388.95,108.91,10.95
search,no_sweat_1000,2,2158,388.95,116.37,10.76
search,no_sweat_1000,3,2158,388.95,179.22,9.67
search,no_sweat_1000,4,2158,388.95,141.11,9.37
search,no_sweat_1000,5,2158,388.95,107.16,8.45
search,no_sweat_1000,6,2158,388.95,101.17,8.28
search,no_sweat_1000,7,2158,388.95,90.37,8.15
search,no_sweat_1000,8,2158,388.95,87.74,7.59
search,no_sweat_1000,9,2158,388.95,94.39,7.62
search,no_sweat_1000,10,2158,388.95,72.14,7.09
search,no_sweat_1000,11,2158,388.95,81.63,6.95
tv_brand,bet5_get200,0,3249,219.99,-14.84,7.96
tv_brand,bet5_get200,1,3249,219.99,100.08,6.92
tv_brand,bet5_get200,2,3249,219.99,85.84,6.2
tv_brand,bet5_get200,3,3249,219.99,81.55,5.74
tv_brand,bet5_get200,4,3249,219.99,71.77,5.29
tv_brand,bet5_get200,5,3249,219.99,73.62,5.3
tv_brand,bet5_get200,6,3249,219.99,42.52,5.23
tv_brand,bet5_get200,7,3249,219.99,52.18,4.39
tv_brand,bet5_get200,8,3249,219.99,37.69,4.2
tv_brand,bet5_get200,9,3249,219.99,59.09,4.09
tv_brand,bet5_get200,10,3249,219.99,47.2,4.04
tv_brand,bet5_get200,11,3249,219.99,48.04,3.81
tv_brand,deposit_match_250,0,1336,219.63,66.04,7.92
tv_brand,deposit_match_250,1,1336,219.63,87.58,6.42
tv_brand,deposit_match_250,2,1336,219.63,75.25,6.43
tv_brand,deposit_match_250,3,1336,219.63,85.0,5.55
tv_brand,deposit_match_250,4,1336,219.63,84.65,5.47
tv_brand,deposit_match_250,5,1336,219.63,64.08,5.2
tv_brand,deposit_match_250,6,1336,219.63,57.4,5.1
tv_brand,deposit_match_250,7,1336,219.63,45.82,4.85
tv_brand,deposit_match_250,8,1336,219.63,59.51,4.33
tv_brand,deposit_match_250,9,1336,219.63,37.38,4.92
tv_brand,deposit_match_250,10,1336,219.63,42.24,4.36
tv_brand,deposit_match_250,11,1336,219.63,35.59,4.43
tv_brand,no_sweat_1000,0,1966,218.64,28.09,8.64
tv_brand,no_sweat_1000,1,1966,218.64,125.64,7.57
tv_brand,no_sweat_1000,2,1966,218.64,84.18,6.97
tv_brand,no_sweat_1000,3,1966,218.64,117.32,6.81
tv_brand,no_sweat_1000,4,1966,218.64,77.32,6.06
tv_brand,no_sweat_1000,5,1966,218.64,56.26,5.59
tv_brand,no_sweat_1000,6,1966,218.64,79.24,5.46
tv_brand,no_sweat_1000,7,1966,218.64,62.15,5.14
tv_brand,no_sweat_1000,8,1966,218.64,46.06,4.61
tv_brand,no_sweat_1000,9,1966,218.64,60.18,4.33
tv_brand,no_sweat_1000,10,1966,218.64,62.83,4.69
tv_brand,no_sweat_1000,11,1966,218.64,37.33,4.52
